tier,PLAYER NAME,position_rank
9,Romeo Doubs,WR59
9,Rico Dowdle,RB52
9,Zach Ertz,TE19
9,Marquise Brown,WR60
9,Kyle Williams,WR61
9,Jaylen Wright,RB53
9,Tre' Harris,WR62
9,Adam Thielen,WR63
9,Nick Chubb,RB54
9,Roschon Johnson,RB55
9,Dylan Sampson,RB56
9,Jayden Higgins,WR64
9,Geno Smith,QB25
9,DeMario Douglas,WR65
9,Bhayshul Tuten,RB57
9,Wan'Dale Robinson,WR66
9,Jalen McMillan,WR67
9,Xavier Legette,WR68
9,Cameron Ward,QB26
9,Quentin Johnston,WR69
9,Brenton Strange,TE20
9,Isaiah Likely,TE21
9,Sam Darnold,QB27
9,Joshua Palmer,WR70
9,Blake Corum,RB58
9,Keenan Allen,WR71
9,Chig Okonkwo,TE22
9,Denver Broncos,DST1
9,MarShawn Lloyd,RB59
9,DeAndre Hopkins,WR72
9,Pat Freiermuth,TE23
9,Mike Gesicki,TE24
9,Cade Otton,TE25
9,Alec Pierce,WR73
9,Philadelphia Eagles,DST2
9,Mason Taylor,TE26
10,Jalen Coker,WR74
10,Pittsburgh Steelers,DST3
10,Minnesota Vikings,DST4
10,Aaron Rodgers,QB28
10,Jack Bech,WR75
10,Baltimore Ravens,DST5
10,Michael Wilson,WR76
10,Kyle Monangai,RB60
10,Darius Slayton,WR77
10,Dalton Schultz,TE27
10,Kendre Miller,RB61
10,Anthony Richardson Sr.,QB29
10,Justice Hill,RB62
10,Houston Texans,DST6
10,Miles Sanders,RB63
10,Buffalo Bills,DST7
10,Kansas City Chiefs,DST8
10,Detroit Lions,DST9
10,Brandon Aubrey,K1
10,Will Shipley,RB64
10,Jake Bates,K2
10,Kareem Hunt,RB65
10,Dontayvion Wicks,WR78
10,Adonai Mitchell,WR79
10,Los Angeles Rams,DST10
10,Cameron Dicker,K3
10,Wil Lutz,K4
10,Jaylin Noel,WR80
10,DJ Giddens,RB66
10,Chris Boswell,K5
10,Los Angeles Chargers,DST11
10,Seattle Seahawks,DST12
10,Ka'imi Fairbairn,K6
10,Green Bay Packers,DST13
10,Chase McLaughlin,K7
10,Andrei Iosivas,WR81
